match_id,date,league,season,home_team,away_team,status,hkjc_frontend_id,hkjc_tournament_code,hkjc_tournament_name_ch,hkjc_home_team_ch,hkjc_away_team_ch,hkjc_live_event_code,data_source,home_close_odds,draw_close_odds,away_close_odds,hkjc_had_updated_at,home_open_odds,draw_open_odds,away_open_odds,hkjc_hdc_home_close_odds,hkjc_hdc_away_close_odds,hkjc_hdc_condition,asian_handicap,hkjc_hdc_updated_at,hkjc_ttg_updated_at,hkjc_ttg_0_odds,hkjc_ttg_1_odds,hkjc_ttg_2_odds,hkjc_ttg_3_odds,hkjc_ttg_4_odds,hkjc_ttg_5_odds,hkjc_ttg_6_odds,hkjc_ttg_7plus_odds
50064947,2026-03-19T17:00:00.000+08:00,Women Asian Cup,2026,Chinese Taipei Women,Korea DPR Women,PREEVENT,FB5717,ASCW,女子亞洲盃,中華台北女足,北韓女足,BETRADAR,hkjc,22.0,9.0,1.03,2026-03-15T11:56:37.343+08:00,22.0,9.0,1.03,1.89,1.87,+2.5/+3.0,2.75,2026-03-17T21:54:56.582+08:00,2026-03-15T11:56:37.343+08:00,20.0,7.5,4.6,3.85,4.1,5.6,8.25,9.25
50064859,2026-03-19T23:30:00.000+08:00,Russian Cup,2026,Krylya Sovetov Samara,Lokomotiv Moscow,PREEVENT,FB5834,RFC,俄羅斯盃,森馬拉,莫斯科火車頭,,hkjc,3.75,3.45,1.73,2026-03-17T19:30:01.278+08:00,3.75,3.45,1.73,1.7,2.09,+0.5/+1.0,0.75,2026-03-17T19:30:01.278+08:00,2026-03-17T19:30:01.278+08:00,10.5,4.75,3.4,3.7,4.95,8.0,16.0,27.0
50064882,2026-03-20T01:00:00.000+08:00,Norwegian Cup,2026,KFUM Oslo,Fredrikstad,PREEVENT,FB5842,NWC,挪威盃,KFUM奧斯陸,費德列斯達,BETRADAR,hkjc,1.93,3.15,3.35,2026-03-17T19:30:01.278+08:00,1.93,3.15,3.35,1.77,2.0,0.0/-0.5,-0.25,2026-03-17T19:30:01.278+08:00,2026-03-17T19:30:01.278+08:00,8.5,4.05,3.25,3.85,5.5,9.75,21.0,30.0
50064777,2026-03-20T01:45:00.000+08:00,UE Conference,2026,AEK Larnaca,Crystal Palace,PREEVENT,FB5833,UEF,歐洲協會聯賽,AEK拉亞拿卡,水晶宮,BETRADAR,hkjc,5.4,3.8,1.46,2026-03-17T19:30:01.278+08:00,5.4,3.8,1.46,1.8,2.01,+1.0,1.0,2026-03-17T19:30:01.278+08:00,2026-03-17T19:30:01.278+08:00,10.0,4.45,3.35,3.7,5.1,8.5,18.0,30.0
50064869,2026-03-20T01:45:00.000+08:00,UE Conference,2026,AEK Athens,NK Celje,PREEVENT,FB5836,UEF,歐洲協會聯賽,AEK雅典,施捷,BETRADAR,hkjc,1.16,5.6,10.5,2026-03-17T19:30:01.278+08:00,1.16,5.6,10.5,,,,,,2026-03-17T19:30:01.278+08:00,15.0,5.5,3.85,3.55,4.45,6.9,12.5,18.0
50064877,2026-03-20T01:45:00.000+08:00,UE Cup,2026,Midtjylland,Nottingham Forest,PREEVENT,FB5837,UEC,歐霸盃,米迪蘭特,諾定咸森林,BETRADAR,hkjc,2.88,3.45,2.02,2026-03-17T19:30:01.278+08:00,2.88,3.45,2.02,1.9,1.9,0.0/+0.5,0.25,2026-03-17T19:30:01.278+08:00,2026-03-17T19:30:01.278+08:00,12.0,4.9,3.65,3.65,4.85,7.25,15.0,19.0
50064878,2026-03-20T01:45:00.000+08:00,UE Conference,2026,Rakow Czestochowa,Fiorentina,PREEVENT,FB5838,UEF,歐洲協會聯賽,捷斯托佐華,費倫天拿,BETRADAR,hkjc,2.36,3.25,2.49,2026-03-17T19:30:01.278+08:00,2.36,3.25,2.49,,,,,,2026-03-17T19:30:01.278+08:00,9.75,4.2,3.4,3.75,5.2,8.75,18.0,30.0
50064402,2026-03-20T01:45:00.000+08:00,UE Conference,2026,Mainz,Sigma Olomouc,PREEVENT,FB5822,UEF,歐洲協會聯賽,緬恩斯,奧洛慕克,BETRADAR,hkjc,1.19,5.0,10.5,2026-03-17T19:30:01.278+08:00,1.19,5.0,10.5,,,,,,2026-03-17T19:30:01.278+08:00,11.0,4.7,3.5,3.65,4.95,7.75,16.0,26.0
50064401,2026-03-20T01:45:00.000+08:00,UE Cup,2026,Freiburg,Genk,PREEVENT,FB5821,UEC,歐霸盃,弗賴堡,亨克,BETRADAR,hkjc,1.46,3.95,5.1,2026-03-17T19:30:01.278+08:00,1.46,3.95,5.1,1.99,1.83,-1.0,-1.0,2026-03-17T19:30:01.278+08:00,2026-03-17T19:30:01.278+08:00,12.0,5.3,3.6,3.65,4.75,7.0,14.5,19.0
50064403,2026-03-20T01:45:00.000+08:00,UE Cup,2026,Lyon,Celta Vigo,PREEVENT,FB5823,UEC,歐霸盃,里昂,切爾達,BETRADAR,hkjc,1.95,3.2,3.25,2026-03-17T19:30:01.278+08:00,1.95,3.2,3.25,1.81,2.02,0.0/-0.5,-0.25,2026-03-17T19:30:01.278+08:00,2026-03-17T19:30:01.278+08:00,9.0,4.2,3.35,3.8,5.4,9.25,18.0,25.0
50064883,2026-03-20T03:00:00.000+08:00,Norwegian Cup,2026,Bryne,Brann,PREEVENT,FB5843,NWC,挪威盃,拜尼,白蘭恩,,hkjc,4.2,3.85,1.57,2026-03-17T19:30:01.278+08:00,4.2,3.85,1.57,1.92,1.84,+0.5/+1.0,0.75,2026-03-17T19:30:01.278+08:00,2026-03-17T19:30:01.278+08:00,15.0,5.9,3.9,3.65,4.35,6.7,11.5,16.0
50064406,2026-03-20T04:00:00.000+08:00,UE Cup,2026,Betis,Panathinaikos,PREEVENT,FB5826,UEC,歐霸盃,貝迪斯,彭拿典奈高斯,BETRADAR,hkjc,1.3,4.35,7.25,2026-03-17T19:30:01.278+08:00,1.3,4.35,7.25,1.92,1.9,-1.0/-1.5,-1.25,2026-03-17T19:30:01.278+08:00,2026-03-17T19:30:01.278+08:00,11.0,4.7,3.5,3.65,4.95,7.75,17.0,22.0
